mu1,mu2,mu3
7.090399,-1.583509,18.472324
-0.430705,-3.475527,5.634913
0.790460,-4.542405,9.719339
3.105004,-4.973127,10.610292
1.813310,6.449369,-3.747475
0.823706,1.962494,2.134140
-0.240136,2.038986,-8.520926
-0.307156,1.843643,18.987858
2.343574,-1.809449,-4.385744
0.470809,4.180598,5.897429
-0.210453,-1.974435,10.544771
-1.186975,10.135122,-3.238624
-2.775208,5.938169,0.434915
-0.194943,11.621287,3.909380
0.859278,4.439864,6.011008
-0.946137,3.764003,17.907544
-4.093537,6.813874,-1.803255
0.068161,1.855619,-7.065901
1.630139,7.797707,-1.351966
4.764243,-1.200211,0.435475
2.138618,4.323287,1.657567
3.384681,2.545147,-12.446343
-0.172836,4.048584,0.974073
2.201869,3.110723,10.236315
1.248400,3.216543,5.765615
0.446935,-3.261103,9.847803
3.242551,1.137697,4.953909
-0.456072,8.490365,-13.754729
0.558692,4.649079,-13.669092
0.635671,1.738889,-2.673413
2.920671,-2.100064,5.950421
-0.602526,8.588036,0.775140
-1.965084,3.551734,0.911721
2.946300,1.612074,3.380544
0.120708,-4.494776,12.916083
2.350269,4.194923,-2.996119
-0.636687,-1.376996,2.583335
1.182598,2.927442,1.890876
1.728468,0.188337,2.144417
0.398000,-2.362964,4.362413
3.854038,3.704292,-0.576293
3.424127,8.535109,-6.011093
0.324525,0.946642,-6.317300
2.006000,5.807913,-13.154371
-1.637520,5.018513,-1.933219
1.299587,1.972690,-3.110776
0.445369,0.711937,7.362772
4.333977,-5.954901,25.633353
3.266741,4.968538,-3.141070
0.710254,-0.770850,34.202677
5.086083,4.163362,-1.780670
-3.860699,7.070024,0.196686
-0.585716,-1.087158,4.114236
3.654975,1.445800,8.380032
0.092386,0.217357,-0.325419
-1.162010,6.354290,2.552859
2.805150,-5.284654,4.976376
0.446884,0.089166,3.636267
2.549505,4.170191,0.563766
-1.433576,2.578417,8.617334
-3.375050,-0.541071,-9.353442
2.637450,8.708883,-10.400107
1.712705,4.499742,-3.191232
6.749775,5.380992,10.556362
2.404113,1.841819,-0.739648
3.493332,0.405271,11.577488
0.047370,10.130466,0.467395
1.936488,2.116818,5.600889
0.173741,10.519772,4.066760
0.561463,4.794253,-0.660244
3.279662,2.091941,0.861686
5.066378,-1.226964,30.927162
-1.423283,2.770277,7.998142
2.573021,1.473036,-8.167410
0.767759,9.398515,2.739889
-2.422875,6.925336,-0.312190
-1.821707,-1.160720,12.743720
1.540553,-9.810981,18.502559
1.139398,7.175064,-12.609633
