experiment,run,event
22,364,81817433
22,170,23694131
22,566,3418228
24,2148,22057240
24,2267,5161853
24,2126,1516672
24,2161,14149511
18,1261,28979490
22,502,21739648
24,1747,1149242
14,981,16227872
18,1356,13706067
12,2751,10260883
12,4795,650817
12,3308,275929
16,705,11527106
16,705,38859058
16,705,29010144
17,160,31092664
17,125,3193303
17,247,1308176
17,272,18997486
24,1854,279568
18,139,5729118
26,1480,2417343
18,2321,7645080
22,595,41399041
22,595,16915590
22,595,90635158
18,830,1363783
26,1026,1560756
26,1026,4326941
26,1167,6203630
26,521,7406452
12,3388,5798548
12,2785,3442230
12,4686,24094167
16,662,2241507
18,2885,18735377
18,2885,16663255
18,2012,14466266
22,524,1357005
22,490,16128847
16,671,15988458
16,671,5628241
16,750,23152630
24,851,5115560
17,249,33342278
17,249,10423496
17,333,23816219
14,1745,7878296
22,449,57624057
16,1097,16297766
16,1097,7219038
24,1559,7621596
24,938,17184560
26,570,5689525
26,347,6262505
14,1960,15162782
24,2183,23565563
24,1794,2219947
24,825,10563110
24,998,24234746
24,918,41238060
24,924,1569593
14,1746,48571725
22,407,14674752
12,2227,8969657
24,1286,4029655
12,4305,9745473
12,4305,21619253
20,671,1433071
14,1797,54561152
14,1002,265743
14,1798,40250121
14,1798,62722689
14,1798,24517422
12,6323,1495999
12,3294,38368803
16,1099,18909917
18,1198,2649858
22,604,7153794
14,1976,35902528
14,1976,27786044
14,1976,25726501
14,1971,13337410
16,1033,56904401
18,2851,11865048
18,72,28365225
24,1184,15975699
24,1184,65666985
12,4431,7968836
24,1763,12665694
24,2176,26363913
17,108,9492279
18,307,14114071
24,2084,10721482
22,722,40619192
22,521,27481125
26,1704,745758
26,648,4289547
26,1772,5193161
26,1772,1677642
18,2266,43786774
18,2728,1244746
18,2728,34944618
22,416,6051053
18,2773,3664053
22,402,46362602
24,1818,37307962
14,1538,628661
14,1538,37689851
14,872,72504404
18,1395,6859065
18,980,2043399
26,1739,2159068
24,873,16050205
24,873,18779458
22,156,43540342
22,156,38453874
14,1162,20725517
14,1162,12945242
24,2093,32685291
24,1844,23193084
24,881,21343897
18,1335,41810312
22,446,47612643
26,812,2611502
26,1486,1283135
26,1886,7410411
12,6221,1040283
22,575,4746106
18,2983,17152974
18,301,119549
24,2281,12293718
18,955,15574209
24,1333,9914656
24,873,7033963
17,199,8499601
18,1043,9361072
18,1039,26871866
18,1396,75434457
18,970,1558452
12,6058,2658722
24,2153,33357962
22,577,13382339
22,599,11179106
18,790,17037928
12,4319,28080653
12,4407,30028649
26,759,13407355
12,2749,9345352
12,2556,1959858
18,783,43208040
24,1203,46074245
14,1543,15234826
18,1455,25885998
26,912,14504696
22,568,15092747
22,497,2197923
18,2867,1903031
26,1179,746787
22,622,3749344
22,622,5862006
12,2721,43812796
12,5042,6654449
18,785,8606464
12,5044,3058276
18,1477,4509545
24,2267,13818717
24,2057,17615896
14,1831,7487301
12,5211,15454642
12,3412,27259164
18,2274,2587874
22,149,5513914
24,830,15005530
26,1774,19865683
24,1128,390897
17,341,46837197
17,341,41379636
12,3191,25926285
12,1916,11352715
12,1916,5200496
18,1362,33960763
18,1255,391766
22,242,3580637
18,1800,5816766
12,5389,32130511
12,5389,38069747
24,2216,18968605
18,327,40592396
22,523,5242444
18,2395,39660268
18,1489,26289442
22,610,2605653
24,821,7197475
24,2185,21245376
18,2910,15797684
24,1147,5175601
26,177,19725996
18,945,17754715
24,938,17119621
24,948,5678325
22,69,21626627
22,69,13392117
12,1333,2289174
14,1797,19741948
14,1163,30918477
22,446,3740935
24,2141,838740
24,1447,4657043
18,1500,849701
12,3358,4337
12,2865,2522856
12,1794,4156837
18,1039,38959991
10,5729,682592
18,852,20806701
12,2427,12639514
12,2252,4271414
26,1722,1423580
24,932,10825068
26,759,20818247
26,963,8574889
18,275,7786599
14,894,2260397
12,5388,40289231
12,2588,15029697
12,2588,1328168
14,2020,30231631
14,1832,4617255
24,2084,8992136
20,778,10594964
24,2046,7467743
24,1184,50629277
24,1836,29743284
22,566,28776984
24,1726,44664310
24,928,126869
18,2024,20246460
18,888,1160581
18,1349,26618585
18,1349,34784764
24,916,4648360
24,866,30815442
24,866,7529916
22,447,5770261
22,247,2957556
22,210,2789160
24,2180,1792573
18,1175,51099826
24,2066,12517703
18,2347,10090458
24,1786,2351082
12,2463,486410
18,330,62733543
12,1480,3316001
18,173,1182468
18,1203,13045271
18,2342,4308727
18,2984,15065997
26,1040,2886893
18,2939,108617
12,2554,5963236
12,2451,2014728
12,3412,84622049
18,1394,81940898
18,2726,5256664
22,614,17180993
24,2238,18916765
24,2238,15033631
18,1197,22762903
18,2908,26349257
18,86,11117466
18,875,5585296
12,3205,68615
12,3205,2550863
26,1494,2076280
26,1727,36761296
26,1489,14198713
12,3300,16622373
24,1344,11335383
18,934,807390
24,2252,2765381
24,2046,8211694
12,2859,25067652
14,1791,32649847
12,6037,53700894
18,2929,1248563
18,2252,42345994
24,1796,12680649
18,2268,56922086
12,2880,23163872
18,1240,30266076
24,1222,12916383
18,126,11894559
26,1543,8498118
16,589,1157678
18,1260,11328864
18,1260,13600638
12,6012,654163
22,170,28403569
24,1834,797217
26,937,5599594
26,1190,4323332
26,1183,24193522
18,181,44179960
18,181,2571273
24,1554,13780132
12,3407,24424913
18,749,9529681
18,2289,23220857
12,2303,4006889
12,3473,91097225
24,796,12231822
26,1511,502109
14,1750,20149876
18,1323,8846469
18,1323,38993140
18,1323,38701959
26,889,3053365
26,287,38766608
26,287,47986368
24,1793,3126985
18,2975,26588541
18,2975,72627886
12,2843,1721630
26,585,9870181
20,652,1659956
26,553,6087582
26,193,14966629
18,2775,52903677
14,1738,41385045
22,691,15242245
18,2375,18810063
24,2014,10748744
12,4471,588450
12,5212,7890664
12,5212,1387063
24,1402,7713512
18,1384,9404987
26,1789,33063618
24,2202,2466664
24,1211,74297
20,750,19766454
24,2064,6955713
24,2064,18786720
10,4296,211912
12,4470,1123151
12,4883,28408386
24,932,29393131
12,4826,262800
22,398,32745334
24,1626,17203828
24,1636,1492564
14,1135,1228807
24,2228,2298319
18,1526,7469689
24,1447,18112595
10,4313,363991
18,2801,2565099
18,963,26664760
24,1647,16395419
24,1857,6938374
24,2274,25030754
24,2059,8577508
18,2243,9343432
18,912,13027177
12,4927,42573706
24,1629,11920267
26,773,6553725
12,5936,27042795
18,307,25723671
24,1263,11779610
24,935,5437212
24,918,40135324
26,898,18946619
24,1347,450810
24,1347,5548617
18,1387,5620235
17,267,8266919
12,5419,14523003
24,1600,3209420
18,2946,14418509
24,1183,5438698
24,2217,5920924
22,147,20044989
14,884,1882274
18,2293,2488921
18,2293,10093389
26,51,15709
26,587,14230805
18,2668,18265296
16,1015,99171159
16,1023,18461509
18,967,41610007
18,967,42422416
18,346,8247567
12,5220,1146955
26,1261,3343250
24,1620,3395988
18,1829,12550834
18,1829,7099889
18,1190,9800643
18,2343,8006200
