experiment,run,event
22,139,53598515
22,139,24511288
22,139,24718817
22,139,17986788
22,139,3757100
22,139,3602022
22,139,67832190
22,139,52157080
22,139,24097721
22,139,36511901
22,139,13824167
22,139,32756456
22,139,37681464
22,139,59749943
22,139,16017912
22,139,62524719
22,139,28051777
22,139,43813691
22,139,48543120
22,139,33905091
22,139,14693973
22,139,28205482
22,139,53753749
22,139,38645219
22,144,4403550
22,144,8452889
22,144,2100217
22,145,4559453
22,145,2468524
22,145,2762304
22,145,5577829
22,147,4728887
22,147,1387390
22,30,20572185
22,147,9513141
22,147,4479922
22,147,9154762
22,147,18647977
22,149,5644057
22,149,9718487
22,149,4726654
22,149,602660
22,149,3135430
22,149,901947
22,149,5248525
22,149,600563
22,149,8566789
22,150,7062776
22,150,7514794
22,150,1633611
22,150,5951169
22,150,9313133
22,150,2582566
22,150,8106345
22,151,271593
22,152,2523940
22,152,3337155
22,152,24611220
22,152,25777868
22,152,10725413
22,152,14104613
22,152,9922575
22,152,10287027
22,152,26124763
22,152,15118596
22,152,12472200
22,152,14619250
22,152,10012692
22,152,13337021
22,152,16818921
22,153,3089449
22,153,4856765
22,155,10816545
22,155,2560232
22,155,76360
22,155,3506719
22,155,5571795
22,155,12546274
22,156,42996180
22,156,15251700
22,156,38061511
22,156,42574286
22,30,2019188
22,30,36893062
22,30,35959273
22,156,34149231
22,156,33767329
22,156,3531756
22,156,37228617
22,156,29029847
22,156,26473004
22,156,19881399
22,156,15087751
22,156,40532457
22,156,598515
22,156,2257965
22,156,3116105
22,156,34714043
22,157,23691046
22,157,5757666
22,157,15367848
22,157,20380119
22,157,17824599
22,157,2970418
22,157,6726573
22,157,14208981
22,157,16032347
22,158,39316177
22,158,42878888
22,158,2799488
22,158,429087
22,158,40319079
22,158,7569305
22,158,21819819
22,159,24479739
22,159,53312066
22,159,71816278
22,159,51768475
22,159,53528655
22,30,20675396
22,30,19804300
22,30,2747924
22,30,10176911
22,30,5419188
22,159,55612780
22,159,38034936
22,159,14257529
22,159,3651270
22,159,13655603
22,159,25357324
22,159,39491885
22,159,61117892
22,159,49453648
22,159,74712343
22,159,76757753
22,159,26636185
22,159,69831162
22,159,32802818
22,159,72405891
22,159,742977
22,159,37078453
22,159,23562966
22,159,39543211
22,160,5437973
22,161,4118739
22,161,1014163
22,161,5371749
22,162,6943927
22,162,8139129
22,162,16320182
22,31,95489
22,31,1521357
22,31,56438
22,32,1686366
22,32,592507
22,32,1963701
22,162,873017
22,162,1379436
22,162,18838399
22,163,7441680
22,163,2722508
22,163,6044377
22,166,2574232
22,167,2974565
22,167,2562467
22,168,10257018
22,168,535634
22,168,1399983
22,170,31326020
22,170,41740593
22,170,43196943
22,170,34913378
22,170,709707
22,170,45441530
22,170,31879016
22,170,27464870
22,170,33120873
22,170,23475722
22,170,39431320
22,170,44461658
22,170,24024887
22,171,18545734
22,171,20896792
22,171,7317116
22,34,17288017
22,34,18040788
22,34,6264053
22,34,22873652
22,371,11530290
22,371,19839945
22,371,935348
22,449,40592475
22,449,17219234
22,449,63836081
22,449,64171711
22,449,63125222
22,449,26658686
22,449,62039116
22,449,3340059
22,449,15547929
22,449,40230728
22,449,51363652
22,449,62918108
22,449,56739648
22,449,52024145
22,449,41766431
22,449,56043003
22,449,63138404
22,449,11860902
22,450,7545986
22,450,11841046
22,450,5620663
22,450,1861367
